timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-10-14,235.54,237.24,228.34,228.56,227.918851533,30198588,0.0000,1.0
2022-10-13,219.85,236.1,219.13,234.24,233.582918196,42551818,0.0000,1.0
2022-10-12,225.4,227.86,223.96,225.75,225.116734046,21903937,0.0000,1.0
2022-10-11,227.62,229.06,224.11,225.41,224.777687802,30473954,0.0000,1.0
2022-10-10,233.05,234.559,226.73,229.25,228.606915969,29743608,0.0000,1.0
2022-10-07,240.902,241.32,233.17,234.24,233.582918196,37769602,0.0000,1.0
2022-10-06,247.93,250.34,246.08,246.79,246.097713378,20239886,0.0000,1.0
2022-10-05,245.99,250.58,244.1,249.2,248.500952931,20347136,0.0000,1.0
2022-10-04,245.09,250.36,244.975,248.88,248.181850584,34888416,0.0000,1.0
2022-10-03,235.41,241.61,234.66,240.74,240.064684625,28880357,0.0000,1.0
2022-09-30,238.29,240.54,232.73,232.9,232.246677117,35694832,0.0000,1.0
2022-09-29,238.89,239.95,234.41,237.5,236.833773359,27484233,0.0000,1.0
2022-09-28,236.81,242.33,234.73,241.07,240.393758921,29029679,0.0000,1.0
2022-09-27,239.98,241.8,234.5,236.41,235.746830989,27018732,0.0000,1.0
2022-09-26,237.045,241.45,236.9,237.45,236.783913617,27694190,0.0000,1.0
2022-09-23,239.54,241.13,235.2,237.92,237.25259519,34176048,0.0000,1.0
2022-09-22,237.8704,243.86,237.57,240.98,240.304011386,30927092,0.0000,1.0
2022-09-21,244.27,247.66,238.9,238.95,238.27970587,28625557,0.0000,1.0
2022-09-20,242.065,243.51,239.64,242.45,241.769887793,26660299,0.0000,1.0
2022-09-19,242.465,245.14,240.85,244.52,243.834081102,26826931,0.0000,1.0
2022-09-16,244.26,245.3,242.0627,244.74,244.053463966,39791768,0.0000,1.0
2022-09-15,249.77,251.4,244.02,245.38,244.691668661,31530948,0.0000,1.0
2022-09-14,253.53,254.23,249.86,252.22,251.512481333,23912954,0.0000,1.0
2022-09-13,258.84,260.4,251.59,251.99,251.283126521,33353318,0.0000,1.0
2022-09-12,265.78,267.45,265.16,266.65,265.902002805,18747690,0.0000,1.0
2022-09-09,260.5,265.23,260.29,264.46,263.718146116,22093190,0.0000,1.0
2022-09-08,257.51,260.43,254.79,258.52,257.794808795,20319911,0.0000,1.0
2022-09-07,254.7,258.83,253.22,258.09,257.366015016,24126700,0.0000,1.0
2022-09-06,256.2,257.83,251.94,253.25,252.539592014,21283869,0.0000,1.0
2022-09-02,261.695,264.74,254.47,256.06,255.3417095,22855380,0.0000,1.0
2022-09-01,258.87,260.89,255.41,260.4,259.669535085,23263431,0.0000,1.0
2022-08-31,265.39,267.11,261.33,261.47,260.736533559,24791834,0.0000,1.0
2022-08-30,266.67,267.05,260.66,262.97,262.232325812,22767071,0.0000,1.0
2022-08-29,265.85,267.4,263.85,265.23,264.485986139,20121371,0.0000,1.0
2022-08-26,279.08,280.34,267.98,268.09,267.337963368,27549307,0.0000,1.0
2022-08-25,277.33,279.02,274.52,278.85,278.067779795,16583407,0.0000,1.0
2022-08-24,275.41,277.23,275.11,275.79,275.016363599,18137019,0.0000,1.0
2022-08-23,276.44,278.86,275.4,276.44,275.664540242,17527409,0.0000,1.0
2022-08-22,282.08,282.46,277.22,277.75,276.970865476,25061070,0.0000,1.0
2022-08-19,288.9,289.25,285.56,286.15,285.347302091,20570033,0.0000,1.0
2022-08-18,290.189,291.91,289.08,290.17,289.356025329,17186192,0.0000,1.0
2022-08-17,289.74,293.35,289.47,291.32,290.502799389,18253358,0.6200,1.0
2022-08-16,291.99,294.04,290.42,292.71,291.269008732,18102882,0.0000,1.0
2022-08-15,291.0,294.18,290.11,293.47,292.025267304,18085654,0.0000,1.0
2022-08-12,288.48,291.91,286.94,291.91,290.472947077,22619675,0.0000,1.0
2022-08-11,290.85,291.21,286.51,287.02,285.607020212,20065938,0.0000,1.0
2022-08-10,288.17,289.81,286.94,289.16,287.736485139,24687845,0.0000,1.0
2022-08-09,279.64,283.08,277.61,282.3,280.910256449,23405238,0.0000,1.0
2022-08-08,284.05,285.92,279.32,280.32,278.940003853,18757818,0.0000,1.0
2022-08-05,279.15,283.65,278.68,282.91,281.517253461,16774606,0.0000,1.0
2022-08-04,281.8,283.8,280.1677,283.65,282.253610491,18098668,0.0000,1.0
2022-08-03,276.76,283.5,276.61,282.47,281.07941955,23518874,0.0000,1.0
2022-08-02,276.0,277.89,272.38,274.82,273.467079976,22754184,0.0000,1.0
2022-08-01,277.82,281.28,275.84,278.01,276.641375825,21539580,0.0000,1.0
2022-07-29,277.7,282.0,276.63,280.74,279.357936222,32152752,0.0000,1.0
2022-07-28,269.75,277.84,267.87,276.41,275.049252515,33459327,0.0000,1.0
2022-07-27,261.16,270.05,258.85,268.74,267.417011399,45994049,0.0000,1.0
2022-07-26,259.86,259.88,249.57,251.9,250.659913565,39347957,0.0000,1.0
2022-07-25,260.995,261.5,256.81,258.83,257.55579765,21055998,0.0000,1.0
2022-07-22,265.24,265.33,259.07,260.36,259.078265565,21881290,0.0000,1.0
2022-07-21,259.79,264.89,257.03,264.84,263.536210832,22404675,0.0000,1.0
2022-07-20,259.9,264.87,258.91,262.27,260.978862766,22788282,0.0000,1.0
2022-07-19,257.575,259.72,253.68,259.53,258.252351598,25012562,0.0000,1.0
2022-07-18,259.75,260.84,253.3,254.25,252.998344676,20975034,0.0000,1.0
2022-07-15,255.72,260.3699,254.7727,256.72,255.456185035,29774050,0.0000,1.0
2022-07-14,250.57,255.1374,245.94,254.08,252.829181575,25102823,0.0000,1.0
2022-07-13,250.19,253.55,248.11,252.72,251.475876761,29497423,0.0000,1.0
2022-07-12,265.88,265.94,252.04,253.67,252.421199976,35868450,0.0000,1.0
2022-07-11,265.65,266.53,262.18,264.51,263.207835399,19519108,0.0000,1.0
2022-07-08,264.79,268.1,263.285,267.66,266.342328165,19658751,0.0000,1.0
2022-07-07,265.12,269.055,265.02,268.4,267.078685196,20859874,0.0000,1.0
2022-07-06,263.75,267.99,262.4,266.21,264.899466416,23824419,0.0000,1.0
2022-07-05,256.16,262.98,254.74,262.85,261.556007466,22971634,0.0000,1.0
2022-07-01,256.39,259.77,254.61,259.58,258.302105452,22837692,0.0000,1.0
2022-06-30,257.05,259.53,252.9,256.83,255.565643513,31730868,0.0000,1.0
2022-06-29,257.59,261.97,255.76,260.26,258.978757858,20069839,0.0000,1.0
2022-06-28,263.98,266.91,256.32,256.48,255.217366539,27380247,0.0000,1.0
2022-06-27,268.205,268.3,263.28,264.89,263.585964685,24615114,0.0000,1.0
2022-06-24,261.808,267.98,261.72,267.7,266.382131248,33923231,0.0000,1.0
2022-06-23,255.57,259.37,253.63,258.86,257.585649962,25861449,0.0000,1.0
2022-06-22,251.89,257.17,250.37,253.13,251.883858359,25961215,0.0000,1.0
2022-06-21,250.255,254.75,249.51,253.74,252.490855371,29928297,0.0000,1.0
2022-06-17,244.7,250.5,244.03,247.65,246.430836024,43084780,0.0000,1.0
2022-06-16,245.98,247.4174,243.02,244.97,243.76402948,33169160,0.0000,1.0
2022-06-15,248.31,255.3,246.42,251.76,250.520602776,33111729,0.0000,1.0
2022-06-14,243.86,245.74,241.51,244.49,243.286392487,28651487,0.0000,1.0
2022-06-13,245.11,249.0242,241.53,242.26,241.067370624,46135788,0.0000,1.0
2022-06-10,260.58,260.58,252.53,252.99,251.74454757,31445841,0.0000,1.0
2022-06-09,267.78,272.7081,264.63,264.79,263.486456979,26439728,0.0000,1.0
2022-06-08,271.71,273.0,269.61,270.41,269.078790104,17372341,0.0000,1.0
2022-06-07,266.635,273.13,265.94,272.5,271.158501177,22860677,0.0000,1.0
2022-06-06,272.06,274.18,267.22,268.75,267.42696217,22400342,0.0000,1.0
2022-06-03,270.31,273.45,268.41,270.02,268.690710047,28058958,0.0000,1.0
2022-06-02,264.45,274.65,261.6,274.58,273.22826148,44008209,0.0000,1.0
2022-06-01,275.195,277.69,270.04,272.42,271.078895012,25292174,0.0000,1.0
2022-05-31,272.53,274.77,268.93,271.87,270.531602624,37827695,0.0000,1.0
2022-05-27,268.48,273.34,267.56,273.24,271.894858208,26910806,0.0000,1.0
2022-05-26,262.27,267.11,261.4294,265.9,264.590992525,25002105,0.0000,1.0
2022-05-25,258.14,264.58,257.125,262.52,261.227632033,28547947,0.0000,1.0
2022-05-24,257.89,261.33,253.5,259.62,258.341908534,29043904,0.0000,1.0
2022-05-23,255.49,261.5,253.43,260.65,259.366837915,33175379,0.0000,1.0
2022-05-20,257.24,258.54,246.44,252.56,251.31666443,39199279,0.0000,1.0
2022-05-19,253.9,257.67,251.88,253.14,251.89380913,32692286,0.0000,1.0
2022-05-18,263.0,263.6,252.77,254.08,252.829181575,31355985,0.6200,1.0
2022-05-17,266.11,268.33,262.46,266.82,264.860157942,28828799,0.0000,1.0
2022-05-16,259.955,265.82,255.78,261.5,259.579234322,32550933,0.0000,1.0
2022-05-13,257.35,263.04,255.35,261.12,259.202025492,34925093,0.0000,1.0
2022-05-12,257.69,259.88,250.02,255.35,253.474407205,51033802,0.0000,1.0
2022-05-11,265.68,271.36,259.3,260.55,258.636212247,48975898,0.0000,1.0
2022-05-10,271.69,273.75,265.07,269.5,267.520472848,39336424,0.0000,1.0
2022-05-09,270.06,272.36,263.32,264.58,262.636611154,47725952,0.0000,1.0
2022-05-06,274.805,279.25,271.27,274.73,272.712057534,37780322,0.0000,1.0
2022-05-05,285.54,286.35,274.34,277.35,275.312813152,43260386,0.0000,1.0
2022-05-04,282.59,290.88,276.73,289.98,287.850043475,33463409,0.0000,1.0
2022-05-03,283.96,284.13,280.15,281.78,279.710273985,25978605,0.0000,1.0
2022-05-02,277.71,284.94,276.22,284.47,282.38051544,35151105,0.0000,1.0
2022-04-29,288.61,289.88,276.5,277.52,275.48156447,37073923,0.0000,1.0
2022-04-28,285.185,290.98,281.4562,289.63,287.502614289,33646570,0.0000,1.0
2022-04-27,282.1,290.97,279.16,283.22,281.13969692,63477694,0.0000,1.0
2022-04-26,277.5,278.3599,270.0,270.22,268.235184315,42047008,0.0000,1.0
2022-04-25,273.29,281.11,270.77,280.72,278.658059881,35678852,0.0000,1.0
2022-04-22,281.68,283.2,273.38,274.03,272.017199163,29405798,0.0000,1.0
2022-04-21,288.58,293.3,280.06,280.81,278.747398814,29454587,0.0000,1.0
2022-04-20,289.4,289.7,285.3702,286.36,284.256633042,22805341,0.0000,1.0
2022-04-19,279.38,286.17,278.41,285.3,283.204418937,22297720,0.0000,1.0
2022-04-18,278.91,282.46,278.34,280.52,278.459528918,20778000,0.0000,1.0
2022-04-14,288.09,288.305,279.32,279.83,277.774597095,28221607,0.0000,1.0
2022-04-13,282.73,288.58,281.3,287.62,285.507378109,21907176,0.0000,1.0
2022-04-12,289.235,290.739,280.49,282.06,279.988217334,30966721,0.0000,1.0
2022-04-11,291.79,292.61,285.0,285.26,283.164712744,34569264,0.0000,1.0
2022-04-08,300.44,301.12,296.28,296.97,294.788700637,24361917,0.0000,1.0
2022-04-07,296.66,303.65,296.35,301.37,299.156381826,31411155,0.0000,1.0
2022-04-06,305.19,307.0,296.71,299.5,297.300117321,40110372,0.0000,1.0
2022-04-05,313.27,314.865,309.87,310.88,308.596529124,22984881,0.0000,1.0
2022-04-04,310.09,315.11,309.71,314.97,312.656487321,24335868,0.0000,1.0
2022-04-01,309.37,310.13,305.54,309.42,307.147253093,27110529,0.0000,1.0
2022-03-31,313.9,315.14,307.89,308.31,306.045406248,33422070,0.0000,1.0
2022-03-30,313.76,315.95,311.58,313.86,311.554640475,28163555,0.0000,1.0
2022-03-29,313.91,315.82,309.05,315.41,313.093255439,30393403,0.0000,1.0
2022-03-28,304.33,310.8,304.33,310.7,308.417851257,29578188,0.0000,1.0
2022-03-25,305.23,305.5,299.2855,303.68,301.449414451,22443541,0.0000,1.0
2022-03-24,299.14,304.2,298.315,304.1,301.866329473,24484456,0.0000,1.0
2022-03-23,300.51,303.23,297.7201,299.49,297.290190773,25715377,0.0000,1.0
2022-03-22,299.8,305.0,298.77,304.06,301.826623281,27441386,0.0000,1.0
2022-03-21,298.89,300.14,294.9,299.16,296.962614683,28107855,0.0000,1.0
2022-03-18,295.37,301.0,292.73,300.43,298.223286299,42195837,0.0000,1.0
2022-03-17,293.29,295.61,289.37,295.22,293.051554709,30816633,0.0000,1.0
2022-03-16,289.11,294.57,283.2,294.39,292.227651212,37826329,0.0000,1.0
2022-03-15,280.35,287.82,278.725,287.15,285.040830346,34245085,0.0000,1.0
2022-03-14,280.34,285.3992,275.82,276.44,274.409497269,30660747,0.0000,1.0
2022-03-11,287.96,289.51,279.43,280.07,278.01283425,27209330,0.0000,1.0
2022-03-10,283.02,286.6,280.58,285.59,283.492288833,30628012,0.0000,1.0
2022-03-09,283.44,289.6,280.78,288.5,286.380914347,35204480,0.0000,1.0
2022-03-08,277.8,283.96,270.0,275.85,273.823830928,48159475,0.0000,1.0
2022-03-07,288.53,289.69,278.53,278.91,276.861354664,43157178,0.0000,1.0
2022-03-04,294.29,295.66,287.165,289.86,287.730924897,32369655,0.0000,1.0
2022-03-03,302.89,303.13,294.05,295.92,293.74641308,27314469,0.0000,1.0
2022-03-02,295.36,301.47,293.698,300.19,297.985049144,31873007,0.0000,1.0
2022-03-01,296.4,299.97,292.15,294.95,292.783537909,31217778,0.0000,1.0
2022-02-28,294.31,299.14,293.0,298.79,296.595332401,34627457,0.0000,1.0
2022-02-25,295.14,297.63,291.655,297.31,295.126203274,32546721,0.0000,1.0
2022-02-24,272.51,295.16,271.52,294.59,292.426182175,56989686,0.0000,1.0
2022-02-23,290.18,291.7,280.1,280.27,278.211365214,37811167,0.0000,1.0
2022-02-22,285.0,291.54,284.5,287.72,285.606643591,41569319,0.0000,1.0
2022-02-18,293.05,293.86,286.305,287.93,285.815101102,34264008,0.0000,1.0
2022-02-17,296.36,296.8,290.0,290.73,288.594534586,32461580,0.0000,1.0
2022-02-16,298.365,300.87,293.68,299.5,297.300117321,29982121,0.6200,1.0
2022-02-15,300.008,300.8,297.02,300.47,297.646828773,27379488,0.0000,1.0
2022-02-14,293.77,296.76,291.35,295.0,292.228224076,36359487,0.0000,1.0
2022-02-11,303.19,304.29,294.22,295.04,292.267848242,39175620,0.0000,1.0
2022-02-10,304.04,309.12,300.7,302.38,299.538882698,45386199,0.0000,1.0
2022-02-09,309.865,311.93,307.39,311.21,308.285917338,31284671,0.0000,1.0
2022-02-08,301.25,305.561,299.95,304.56,301.698399744,32421188,0.0000,1.0
2022-02-07,306.17,307.84,299.9,300.95,298.122318765,28533286,0.0000,1.0
2022-02-04,300.21,308.8,299.97,305.94,303.06543347,35096488,0.0000,1.0
2022-02-03,309.49,311.23,299.96,301.25,298.41950001,43729972,0.0000,1.0
2022-02-02,309.63,315.12,308.88,313.46,310.514776674,36635989,0.0000,1.0
2022-02-01,310.41,310.63,305.1293,308.76,305.858937172,40950396,0.0000,1.0
2022-01-31,308.95,312.38,306.37,310.98,308.058078383,46444536,0.0000,1.0
2022-01-28,300.23,308.48,294.45,308.26,305.363635097,49743698,0.0000,1.0
2022-01-27,302.66,307.3,297.93,299.84,297.022748159,53481317,0.0000,1.0
2022-01-26,307.985,308.5,293.03,296.71,293.922157171,90428853,0.0000,1.0
2022-01-25,291.52,294.99,285.17,288.49,285.779391063,72848638,0.0000,1.0
2022-01-24,292.2,297.11,276.05,296.37,293.58535176,86035393,0.0000,1.0
2022-01-21,302.685,304.11,295.61,296.03,293.24854635,57984403,0.0000,1.0
2022-01-20,309.07,311.6494,301.14,301.6,298.766211462,35380675,0.0000,1.0
2022-01-19,306.29,313.9093,302.7,303.33,300.47995664,45485618,0.0000,1.0
2022-01-18,304.07,309.8,301.74,302.65,299.806345819,41717982,0.0000,1.0
2022-01-14,304.25,310.82,303.75,310.2,307.285407147,39846414,0.0000,1.0
2022-01-13,320.4658,320.88,304.0,304.8,301.93614474,45365979,0.0000,1.0
2022-01-12,319.67,323.41,317.08,318.27,315.279582632,34372217,0.0000,1.0
2022-01-11,313.38,316.61,309.89,314.98,312.020494981,29267314,0.0000,1.0
2022-01-10,309.485,314.72,304.69,314.27,311.317166035,44289467,0.0000,1.0
2022-01-07,314.15,316.5,310.09,314.04,311.08932708,32720018,0.0000,1.0
2022-01-06,313.15,318.7,311.49,313.88,310.930830417,39646148,0.0000,1.0
2022-01-05,325.86,326.07,315.98,316.38,313.40734079,40054327,0.0000,1.0
2022-01-04,334.83,335.2,326.12,329.01,325.918671197,32674306,0.0000,1.0
2022-01-03,335.35,338.0,329.78,334.75,331.604739015,28918013,0.0000,1.0
2021-12-31,338.51,339.355,335.85,336.32,333.159987529,17772880,0.0000,1.0
2021-12-30,341.91,343.13,338.82,339.32,336.131799978,15994471,0.0000,1.0
2021-12-29,341.3,344.3,339.68,341.95,338.73708889,15041956,0.0000,1.0
2021-12-28,343.15,343.81,340.32,341.25,338.043665986,15661467,0.0000,1.0
2021-12-27,335.46,342.48,335.43,342.45,339.232390965,19947029,0.0000,1.0
2021-12-23,332.75,336.39,332.73,334.69,331.545302766,19617848,0.0000,1.0
2021-12-22,328.3,333.605,325.75,333.2,330.069302583,24831493,0.0000,1.0
2021-12-21,323.29,327.73,319.8,327.29,324.21483206,24740597,0.0000,1.0
2021-12-20,320.05,322.8,317.57,319.91,316.904173437,28326532,0.0000,1.0
2021-12-17,320.88,324.92,317.25,323.8,320.757623579,47983713,0.0000,1.0
2021-12-16,335.71,336.76,323.02,324.9,321.847288143,35034831,0.0000,1.0
2021-12-15,328.61,335.19,324.5,334.65,331.5056786,35381122,0.0000,1.0
2021-12-14,333.22,334.64,324.11,328.34,325.254966417,44438699,0.0000,1.0
2021-12-13,340.68,343.79,339.08,339.4,336.211048309,28899431,0.0000,1.0
2021-12-10,334.98,343.0,334.79,342.54,339.321545339,38095694,0.0000,1.0
2021-12-09,334.41,336.489,332.12,333.1,329.970242168,22214158,0.0000,1.0
2021-12-08,335.31,335.5,330.8,334.97,331.822671928,24760988,0.0000,1.0
2021-12-07,331.64,335.8,330.1,334.92,331.77314172,31021936,0.0000,1.0
2021-12-06,323.95,327.45,319.23,326.19,323.125167496,30032556,0.0000,1.0
2021-12-03,331.99,332.7,318.03,323.01,319.975046301,41779279,0.0000,1.0
2021-12-02,330.3,333.49,327.8028,329.49,326.394161189,30765980,0.0000,1.0
2021-12-01,335.13,339.28,329.39,330.08,326.978617637,33401146,0.0000,1.0
2021-11-30,335.32,337.78,328.99,330.59,327.483825753,42885609,0.0000,1.0
2021-11-29,334.94,339.03,334.74,336.63,333.467074816,28563481,0.0000,1.0
2021-11-26,334.35,337.93,328.12,329.68,326.582375977,24217242,0.0000,1.0
2021-11-24,336.28,338.16,333.911,337.91,334.735048127,21661307,0.0000,1.0
2021-11-23,337.05,339.45,333.56,337.68,334.507209172,30427563,0.0000,1.0
2021-11-22,344.62,349.67,339.55,339.83,336.637008094,31031113,0.0000,1.0
2021-11-19,342.64,345.1,342.2,343.11,339.886189704,21963403,0.0000,1.0
2021-11-18,338.18,342.45,337.12,341.27,338.063478069,22463533,0.0000,1.0
2021-11-17,338.94,342.19,338.0,339.12,335.933679148,19053380,0.6200,1.0
2021-11-16,335.68,340.67,335.51,339.51,335.706255982,20886832,0.0000,1.0
2021-11-15,337.54,337.88,334.034,336.07,332.304796465,16723009,0.0000,1.0
2021-11-12,333.92,337.23,333.79,336.72,332.947514107,23484434,0.0000,1.0
2021-11-11,331.25,333.7746,330.51,332.43,328.705577674,16849844,0.0000,1.0
2021-11-10,334.57,334.6303,329.92,330.8,327.093839589,25500938,0.0000,1.0
2021-11-09,337.1071,338.72,334.53,335.95,332.186140901,19890003,0.0000,1.0
2021-11-08,337.3,337.65,334.44,336.99,333.214489127,20897001,0.0000,1.0
2021-11-05,338.51,338.79,334.4217,336.06,332.294908502,22570098,0.0000,1.0
2021-11-04,332.89,336.54,329.51,336.44,332.670651123,23992202,0.0000,1.0
2021-11-03,333.9,334.9,330.65,334.0,330.257987977,21500082,0.0000,1.0
2021-11-02,330.31,333.45,330.0,333.13,329.397735134,25719044,0.0000,1.0
2021-11-01,331.355,331.49,326.37,329.37,325.679860778,26840400,0.0000,1.0
2021-10-29,324.13,332.0,323.9,331.62,327.904652614,34765982,0.0000,1.0
2021-10-28,324.325,324.87,321.3601,324.35,320.716102995,26297943,0.0000,1.0
2021-10-27,316.0,326.0973,316.0,323.17,319.549323277,52588690,0.0000,1.0
2021-10-26,311.0,312.395,308.5967,310.11,306.635642669,28107349,0.0000,1.0
2021-10-25,309.36,309.4,306.46,308.13,304.677825854,17554469,0.0000,1.0
2021-10-22,310.4,311.09,307.8,309.16,305.696286117,17449332,0.0000,1.0
2021-10-21,307.1702,311.02,306.36,310.76,307.278360311,16918100,0.0000,1.0
2021-10-20,309.21,309.7,306.11,307.41,303.965892467,16537069,0.0000,1.0
2021-10-19,308.348,309.3,307.22,308.23,304.776705491,17682139,0.0000,1.0
2021-10-18,303.57,308.21,302.69,307.29,303.847236903,22729297,0.0000,1.0
2021-10-15,302.34,304.45,300.5191,304.21,300.801744079,25384803,0.0000,1.0
2021-10-14,299.21,303.27,297.83,302.75,299.358101377,27262902,0.0000,1.0
2021-10-13,294.91,297.28,293.49,296.31,292.990252747,23424025,0.0000,1.0
2021-10-12,295.34,295.44,292.35,292.88,289.598681194,17974143,0.0000,1.0
2021-10-11,292.92,297.97,292.745,294.23,290.933556295,19298634,0.0000,1.0
2021-10-08,296.219,296.6409,293.76,294.85,291.546610045,17685700,0.0000,1.0
2021-10-07,295.175,296.64,293.92,294.85,291.546610045,20430471,0.0000,1.0
2021-10-06,285.78,293.63,285.5093,293.11,289.826104359,28002559,0.0000,1.0
2021-10-05,284.0464,290.398,284.0464,288.76,285.524840144,24993024,0.0000,1.0
2021-10-04,287.4,287.75,280.25,283.11,279.938140647,31350747,0.0000,1.0
2021-10-01,282.1217,289.98,281.29,289.1,285.861030911,30086280,0.0000,1.0
2021-09-30,285.71,287.83,281.62,281.92,278.761472966,32343635,0.0000,1.0
2021-09-29,285.1,286.77,283.01,284.0,280.818169418,26353696,0.0000,1.0
2021-09-28,289.795,290.78,282.75,283.52,280.343547159,43186237,0.0000,1.0
2021-09-27,296.14,296.47,292.9449,294.17,290.874228513,23571742,0.0000,1.0
2021-09-24,298.23,299.8,296.93,299.35,295.996193715,14998978,0.0000,1.0
2021-09-23,298.845,300.9,297.5339,299.56,296.203840953,18604601,0.0000,1.0
2021-09-22,296.725,300.22,294.51,298.58,295.23482051,26626342,0.0000,1.0
2021-09-21,295.69,297.54,294.07,294.8,291.497170226,22364103,0.0000,1.0
2021-09-20,296.33,298.72,289.52,294.3,291.002772041,38278661,0.0000,1.0
2021-09-17,304.17,304.5,299.53,299.87,296.510367828,41372457,0.0000,1.0
2021-09-16,303.76,305.31,300.76,305.22,301.800428414,19550815,0.0000,1.0
2021-09-15,303.26,305.32,301.82,304.82,301.404909866,28356304,0.0000,1.0
2021-09-14,299.56,301.39,298.1,299.79,296.431264119,21853433,0.0000,1.0
2021-09-13,297.55,298.54,294.08,296.99,293.662634279,23652949,0.0000,1.0
2021-09-10,298.415,299.92,295.38,295.71,292.396974924,19633363,0.0000,1.0
2021-09-09,300.82,302.14,297.0,297.25,293.919721336,19927000,0.0000,1.0
2021-09-08,299.78,300.61,297.4651,300.21,296.846558595,15046819,0.0000,1.0
2021-09-07,301.005,301.09,298.2,300.18,296.816894703,17184083,0.0000,1.0
2021-09-03,300.99,302.6,300.26,301.14,297.76613922,14751610,0.0000,1.0
2021-09-02,302.2,303.3602,300.18,301.15,297.776027183,16290545,0.0000,1.0
2021-09-01,302.865,305.19,301.49,301.83,298.448408716,18983826,0.0000,1.0
2021-08-31,304.42,304.5,301.5,301.88,298.497848534,26285338,0.0000,1.0
2021-08-30,301.115,304.22,301.06,303.59,300.188690329,16348072,0.0000,1.0
2021-08-27,298.987,300.87,296.83,299.72,296.362048373,22605726,0.0000,1.0
2021-08-26,300.99,302.429,298.95,299.09,295.739106659,17666084,0.0000,1.0
2021-08-25,304.3,304.59,300.42,302.01,298.626392063,20006057,0.0000,1.0
2021-08-24,305.02,305.65,302.0035,302.62,299.229557849,18175774,0.0000,1.0
2021-08-23,303.245,305.4,301.85,304.65,301.236814483,22830157,0.0000,1.0
2021-08-20,299.72,305.84,298.06,304.36,300.950063535,40817646,0.0000,1.0
2021-08-19,288.6935,297.47,288.64,296.77,293.445099078,29850461,0.0000,1.0
2021-08-18,292.04,294.82,290.27,290.73,287.472768996,21812985,0.5600,1.0
2021-08-17,292.39,293.43,291.08,293.08,289.23931181,20075250,0.0000,1.0
2021-08-16,293.19,294.82,290.02,294.6,290.73939286,22516027,0.0000,1.0
2021-08-13,289.48,292.9,289.3,292.85,289.012325862,17283015,0.0000,1.0
2021-08-12,286.63,289.97,286.34,289.81,286.012163763,14570391,0.0000,1.0
2021-08-11,287.21,288.66,285.86,286.95,283.189642842,13955934,0.0000,1.0
2021-08-10,288.8,289.25,285.2,286.44,282.686326174,18616578,0.0000,1.0
2021-08-09,289.75,291.55,287.81,288.33,284.551558531,16117629,0.0000,1.0
2021-08-06,288.505,289.5,287.6238,289.46,285.666750364,16589336,0.0000,1.0
2021-08-05,286.88,289.63,286.1,289.52,285.72596409,13900167,0.0000,1.0
2021-08-04,286.22,287.5883,284.65,286.51,282.755408854,16191301,0.0000,1.0
2021-08-03,285.42,287.23,284.0,287.12,283.357415064,17879048,0.0000,1.0
