timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-09-22,152.38,154.47,150.91,152.74,152.48655364,86264792,0.0000,1.0
2022-09-21,157.34,158.74,153.6,153.72,153.464927494,101696790,0.0000,1.0
2022-09-20,153.4,158.08,153.08,156.9,156.639650819,107689796,0.0000,1.0
2022-09-19,149.31,154.56,149.1,154.48,154.223666402,81474246,0.0000,1.0
2022-09-16,151.21,151.35,148.37,150.7,150.449938677,162278841,0.0000,1.0
2022-09-15,154.65,155.24,151.38,152.37,152.117167593,90481110,0.0000,1.0
2022-09-14,154.785,157.1,153.6106,155.31,155.052289157,87965409,0.0000,1.0
2022-09-13,159.9,160.54,153.37,153.84,153.584728375,122656614,0.0000,1.0
2022-09-12,159.59,164.26,159.3,163.43,163.158815381,104955962,0.0000,1.0
2022-09-09,155.47,157.82,154.75,157.37,157.108870933,68081006,0.0000,1.0
2022-09-08,154.64,156.36,152.68,154.46,154.203699589,84923847,0.0000,1.0
2022-09-07,154.825,156.67,153.61,155.96,155.701210591,87449574,0.0000,1.0
2022-09-06,156.47,157.09,153.69,154.53,154.273583436,73295539,0.0000,1.0
2022-09-02,159.75,160.362,154.965,155.81,155.551459491,76957768,0.0000,1.0
2022-09-01,156.64,158.42,154.67,157.96,157.697891927,74229896,0.0000,1.0
2022-08-31,160.305,160.58,157.14,157.22,156.959119833,87991091,0.0000,1.0
2022-08-30,162.13,162.56,157.72,158.91,158.646315562,77906197,0.0000,1.0
2022-08-29,161.145,162.9,159.82,161.38,161.112217012,72724452,0.0000,1.0
2022-08-26,170.57,171.05,163.56,163.62,163.348500108,78960980,0.0000,1.0
2022-08-25,168.78,170.14,168.35,170.03,169.74786379,51218209,0.0000,1.0
2022-08-24,167.32,168.11,166.245,167.53,167.25201212,53841524,0.0000,1.0
2022-08-23,167.08,168.71,166.65,167.23,166.95250992,54147079,0.0000,1.0
2022-08-22,169.69,169.86,167.135,167.57,167.291945747,69026809,0.0000,1.0
2022-08-19,173.03,173.74,171.3101,171.52,171.235391386,70346295,0.0000,1.0
2022-08-18,173.75,174.9,173.12,174.15,173.861027343,62290075,0.0000,1.0
2022-08-17,172.77,176.15,172.57,174.55,174.26036361,79542037,0.0000,1.0
2022-08-16,172.78,173.71,171.6618,173.03,172.742885795,56377050,0.0000,1.0
2022-08-15,171.52,173.39,171.345,173.19,172.902620302,54091694,0.0000,1.0
2022-08-12,169.82,172.17,169.4,172.1,171.814428973,68039382,0.0000,1.0
2022-08-11,170.06,170.99,168.19,168.49,168.210419162,57149159,0.0000,1.0
2022-08-10,167.68,169.34,166.9,169.24,168.959174663,70170540,0.0000,1.0
2022-08-09,164.02,165.82,163.25,164.92,164.646342977,63135503,0.0000,1.0
2022-08-08,166.37,167.81,164.2,164.87,164.596425943,60362338,0.0000,1.0
2022-08-05,163.21,165.85,163.0,165.35,165.075629464,56696985,0.2300,1.0
2022-08-04,166.005,167.19,164.43,165.81,165.304928865,55474144,0.0000,1.0
2022-08-03,160.84,166.59,160.75,166.13,165.623954118,82507488,0.0000,1.0
2022-08-02,160.1,162.41,159.63,160.01,159.52259615,59907025,0.0000,1.0
2022-08-01,161.01,163.59,160.89,161.51,161.018027025,67829379,0.0000,1.0
2022-07-29,161.24,163.63,159.5,162.51,162.014980941,101786860,0.0000,1.0
2022-07-28,156.98,157.64,154.41,157.35,156.870698733,81378731,0.0000,1.0
2022-07-27,152.58,157.33,152.16,156.79,156.31240454,78620688,0.0000,1.0
2022-07-26,152.265,153.085,150.8,151.6,151.138213714,55138691,0.0000,1.0
2022-07-25,154.01,155.04,152.28,152.95,152.484101501,53623945,0.0000,1.0
2022-07-22,155.39,156.28,153.41,154.09,153.620628965,66675408,0.0000,1.0
2022-07-21,154.5,155.57,151.94,155.35,154.8767909,65086636,0.0000,1.0
2022-07-20,151.12,153.72,150.37,153.04,152.573827353,64823413,0.0000,1.0
2022-07-19,147.92,151.23,146.91,151.0,150.540041364,82982367,0.0000,1.0
2022-07-18,150.74,151.57,146.7,147.07,146.622012473,81420868,0.0000,1.0
2022-07-15,149.78,150.86,148.2,150.17,149.712569614,76259931,0.0000,1.0
2022-07-14,144.08,148.95,143.25,148.47,148.017747956,78140744,0.0000,1.0
2022-07-13,142.99,146.45,142.1201,145.49,145.046825285,71185560,0.0000,1.0
2022-07-12,145.76,148.45,145.05,145.86,145.415698234,77588759,0.0000,1.0
2022-07-11,145.67,146.64,143.78,144.87,144.428713857,63305113,0.0000,1.0
2022-07-08,145.265,147.55,145.0,147.04,146.592103855,64547798,0.0000,1.0
2022-07-07,143.29,146.55,143.28,146.35,145.904205653,66253709,0.0000,1.0
2022-07-06,141.355,144.12,141.08,142.92,142.48465372,74064254,0.0000,1.0
2022-07-05,137.77,141.61,136.93,141.56,141.128796394,73429641,0.0000,1.0
2022-07-01,136.04,139.04,135.66,138.93,138.506807594,71051552,0.0000,1.0
2022-06-30,137.25,138.37,133.7737,136.72,136.303539439,98964467,0.0000,1.0
2022-06-29,137.46,140.67,136.67,139.23,138.805893769,66242411,0.0000,1.0
2022-06-28,142.13,143.422,137.325,137.44,137.021346259,67315328,0.0000,1.0
2022-06-27,142.695,143.49,140.965,141.66,141.228491786,70207908,0.0000,1.0
2022-06-24,139.9,141.91,139.77,141.66,141.228491786,89116837,0.0000,1.0
2022-06-23,136.82,138.59,135.63,138.27,137.848818009,72433768,0.0000,1.0
2022-06-22,134.79,137.76,133.91,135.35,134.937712574,73409234,0.0000,1.0
2022-06-21,133.42,137.06,133.32,135.87,135.45612861,81000488,0.0000,1.0
2022-06-17,130.065,133.079,129.81,131.56,131.159257231,134520290,0.0000,1.0
2022-06-16,132.08,132.39,129.04,130.06,129.663826356,107961508,0.0000,1.0
2022-06-15,134.29,137.34,132.16,135.43,135.017468887,91532972,0.0000,1.0
2022-06-14,133.13,133.89,131.48,132.76,132.35560193,84784326,0.0000,1.0
2022-06-13,132.87,135.2,131.44,131.88,131.478282484,122207099,0.0000,1.0
2022-06-10,140.28,140.76,137.06,137.13,136.712290545,91566637,0.0000,1.0
2022-06-09,147.08,147.95,142.53,142.64,142.205506624,69472976,0.0000,1.0
2022-06-08,148.58,149.8697,147.46,147.96,147.509301458,53950201,0.0000,1.0
2022-06-07,144.345,149.0,144.1,148.71,148.257016896,67808150,0.0000,1.0
2022-06-06,147.03,148.5689,144.9,146.14,145.694845331,71598380,0.0000,1.0
2022-06-03,146.9,147.97,144.46,145.38,144.937160354,88570289,0.0000,1.0
2022-06-02,147.83,151.27,146.86,151.21,150.749401686,72348055,0.0000,1.0
2022-06-01,149.9,151.74,147.68,148.71,148.257016896,74286635,0.0000,1.0
2022-05-31,149.07,150.66,146.84,148.84,148.386620905,103718416,0.0000,1.0
2022-05-27,145.39,149.68,145.26,149.64,149.184184038,90978503,0.0000,1.0
2022-05-26,137.39,144.34,137.14,143.78,143.342034088,90601548,0.0000,1.0
2022-05-25,138.43,141.785,138.34,140.52,140.091964321,92482696,0.0000,1.0
2022-05-24,140.805,141.97,137.33,140.36,139.932451694,104132746,0.0000,1.0
2022-05-23,137.79,143.26,137.65,143.11,142.674074964,117726265,0.0000,1.0
2022-05-20,139.09,140.7,132.61,137.59,137.170889346,137426125,0.0000,1.0
2022-05-19,139.88,141.66,136.6,137.35,136.931620406,136095640,0.0000,1.0
2022-05-18,146.85,147.3601,139.9,140.82,140.391050496,109742890,0.0000,1.0
2022-05-17,148.86,149.77,146.68,149.24,148.785402471,78336254,0.0000,1.0
2022-05-16,145.55,147.5199,144.18,145.54,145.096672981,86643781,0.0000,1.0
2022-05-13,144.59,148.105,143.11,147.11,146.66189063,113990852,0.0000,1.0
2022-05-12,142.77,146.2,138.8,142.56,142.12575031,182602041,0.0000,1.0
2022-05-11,153.5,155.45,145.81,146.5,146.053748741,142689825,0.0000,1.0
2022-05-10,155.52,156.74,152.93,154.51,154.03934961,115366736,0.0000,1.0
2022-05-09,154.925,155.83,151.49,152.06,151.596812515,131577921,0.0000,1.0
2022-05-06,156.01,159.44,154.18,157.28,156.800911959,116124647,0.2300,1.0
2022-05-05,163.85,164.08,154.95,156.77,156.064243335,130525275,0.0000,1.0
2022-05-04,159.67,166.48,159.26,166.02,165.272601126,107521649,0.0000,1.0
2022-05-03,158.15,160.71,156.32,159.48,158.762043293,88966526,0.0000,1.0
2022-05-02,156.71,158.23,153.27,157.96,157.248886121,123055265,0.0000,1.0
2022-04-29,161.84,166.2,157.25,157.65,156.940281698,131747571,0.0000,1.0
2022-04-28,159.25,164.515,158.93,163.64,162.903315554,130216792,0.0000,1.0
2022-04-27,155.91,159.79,155.38,156.57,155.865143707,88063191,0.0000,1.0
2022-04-26,162.25,162.34,156.72,156.8,156.094108279,94008394,0.0000,1.0
2022-04-25,161.12,163.17,158.46,162.88,162.146736968,96046376,0.0000,1.0
2022-04-22,166.46,167.8699,161.5,161.79,161.061643996,84882424,0.0000,1.0
2022-04-21,168.91,171.53,165.91,166.42,165.670800382,87227768,0.0000,1.0
2022-04-20,168.76,168.88,166.1,167.23,166.477153875,67718110,0.0000,1.0
2022-04-19,165.02,167.82,163.91,167.4,166.646388559,67723833,0.0000,1.0
2022-04-18,163.92,166.5984,163.57,165.07,164.326877893,69023941,0.0000,1.0
2022-04-14,170.62,171.27,165.04,165.29,164.545887484,75329376,0.0000,1.0
2022-04-13,167.39,171.04,166.77,170.4,169.632882977,70618925,0.0000,1.0
2022-04-12,168.02,169.87,166.64,167.66,166.905218075,79265181,0.0000,1.0
2022-04-11,168.71,169.03,165.5,165.75,165.003816628,72246706,0.0000,1.0
2022-04-08,171.78,171.78,169.2,170.09,169.324278554,76575508,0.0000,1.0
2022-04-07,171.16,173.36,169.85,172.14,171.36504974,77594650,0.0000,1.0
2022-04-06,172.36,173.63,170.13,171.83,171.056445317,89058782,0.0000,1.0
2022-04-05,177.5,178.3,174.415,175.06,174.271904307,70902999,0.0000,1.0
2022-04-04,174.57,178.49,174.44,178.44,177.636688019,76545983,0.0000,1.0
2022-04-01,174.03,174.88,171.94,174.31,173.525280703,78751328,0.0000,1.0
2022-03-31,177.84,178.03,174.4,174.61,173.823930145,103049285,0.0000,1.0
2022-03-30,178.55,179.61,176.7,177.77,176.969704266,92633154,0.0000,1.0
2022-03-29,176.69,179.01,176.34,178.96,178.154347052,100589440,0.0000,1.0
2022-03-28,172.17,175.73,172.0,175.6,174.809473303,90371916,0.0000,1.0
2022-03-25,173.88,175.28,172.75,174.72,173.93343494,80281664,0.0000,1.0
2022-03-24,171.06,174.14,170.21,174.07,173.286361149,90131418,0.0000,1.0
2022-03-23,167.99,172.64,167.65,170.21,169.443738331,98062674,0.0000,1.0
2022-03-22,165.51,169.42,164.91,168.82,168.059995917,80979755,0.0000,1.0
2022-03-21,163.51,166.35,163.015,165.38,164.635482317,89029269,0.0000,1.0
2022-03-18,160.51,164.48,159.76,163.98,163.241784921,122055535,0.0000,1.0
2022-03-17,158.61,161.0,157.63,160.62,159.896911172,75615376,0.0000,1.0
2022-03-16,157.05,160.0,154.46,159.59,158.871548089,102300157,0.0000,1.0
2022-03-15,150.9,155.57,150.38,155.09,154.391806461,92964302,0.0000,1.0
2022-03-14,151.45,154.12,150.1,150.62,149.941929777,108732111,0.0000,1.0
2022-03-11,158.93,159.28,154.5,154.73,154.033427131,96970102,0.0000,1.0
2022-03-10,160.2,160.39,155.98,158.52,157.806365079,105342033,0.0000,1.0
2022-03-09,161.475,163.41,159.41,162.95,162.216421838,91454905,0.0000,1.0
2022-03-08,158.82,162.88,155.8,157.44,156.731227089,131148280,0.0000,1.0
2022-03-07,163.36,165.02,159.04,159.3,158.582853628,96418845,0.0000,1.0
2022-03-04,164.49,165.55,162.1,163.17,162.435431428,83819592,0.0000,1.0
2022-03-03,168.47,168.91,165.55,166.23,165.481655735,76678441,0.0000,1.0
2022-03-02,164.39,167.36,162.95,166.56,165.810170121,79724750,0.0000,1.0
2022-03-01,164.695,166.6,161.97,163.2,162.465296372,83474425,0.0000,1.0
2022-02-28,163.06,165.42,162.43,165.12,164.3766528,95056629,0.0000,1.0
2022-02-25,163.84,165.12,160.8738,164.85,164.107868303,91974222,0.0000,1.0
2022-02-24,152.58,162.85,152.0,162.74,162.007367228,141147540,0.0000,1.0
2022-02-23,165.54,166.15,159.75,160.07,159.349387196,90009247,0.0000,1.0
